TimeSinceMark,CurrentStage,AltitudeASL,DownRange,SpeedSurface,SpeedOrbital,Mass,Acceleration,Q,AoA,AoS,AoD,AltitudeTrue,Pitch,GravityLosses,DragLosses,SteeringLosses,DeltaVExpended
8.21999999999252,3,1476.41495588201,1.4446074415844,291.946072578219,340.283377334311,10.749311927706,0.114358019053662,39912.8999575831,0.0115198796084836,-0.387760666770404,0.387628042670581,1382.5984924231,89.7226989746094,49.6013168779133,55.9848026635322,166.737230821853,426.755269979932
8.41999999999234,3,1534.58880364356,1.55842781139159,289.775335888655,338.422966000887,10.749311927706,0.192802167738339,39099.703912809,0.0166554274913731,-0.415401889266172,0.415219269218582,1440.91423422235,89.6986755371094,49.6013168779133,57.4372957500629,166.737230821853,426.755269979932
8.61999999999216,3,1592.17235201616,1.69993188821025,286.405864493207,335.536086643697,10.749311927706,0.72923767014248,37926.517459599,0.0204999550430997,-0.40394158980255,0.404111921403949,1498.77913499245,89.7172271728516,49.6013168779133,58.8446458536854,166.737230821853,426.755269979932
8.81999999999198,3,1649.08706851322,1.81637025753782,283.08265435269,332.69760886078,10.749311927706,0.705978064464696,36793.2400098469,0.0226476599902243,-0.343162191800717,0.343233876878918,1555.99622027432,89.7856048583984,49.6013168779133,60.2059083602134,166.737230821853,426.755269979932
9.0199999999918,3,1705.34221013911,1.94794371746989,279.805485384861,329.907081999761,10.749311927706,0.682719691977424,35698.490275926,0.0234129677511115,-0.267187794184561,0.267495996197344,1612.55793499879,89.8694213867188,49.6013168779133,61.5220331225394,166.737230821853,426.755269979932
9.21999999999161,3,1760.94683144761,2.06939953200869,276.572837505657,327.163113894201,10.749311927706,0.660180605470827,34640.6404832174,0.0236082713827624,-0.196760181595015,0.19811157002381,1668.4551510729,89.9470764160156,49.6013168779133,62.7948910829836,166.737230821853,426.755269979932
9.41999999999143,3,1815.90961016304,2.2205890200236,273.382613481193,324.463857715469,10.749311927706,0.638681251278534,33617.9574791005,0.0235470155956983,-0.141717319606037,0.142153242703389,1723.70116993275,89.9912689208984,49.6013168779133,64.026689394511,166.737230821853,426.755269979932
9.61999999999125,3,1870.2387846495,2.36183357915816,270.232581912013,321.8073727532,10.749311927706,0.618307436393116,32628.7444958186,0.0233225082839691,-0.104958508707114,0.105641420907187,1778.31920071372,89.9480865478516,49.6013168779133,65.2196358026824,166.737230821853,426.755269979932
9.81999999999107,3,1923.94215540175,2.52137158600174,267.12061400145,319.191818924266,10.749311927706,0.599016784540685,31671.4223874799,0.0230375805633985,-0.08536186843486,0.0864131255161802,1832.30031968069,89.9206024169922,49.6013168779133,66.3757713756305,166.737230821853,426.755269979932
10.0199999999909,3,1977.02711924344,2.67080026423621,264.044787868876,316.615511256807,10.749311927706,0.580708550638964,30744.5253380991,0.0227434026310072,-0.079954098627761,0.0798374281651997,1885.66067135479,89.9093811035156,49.6013168779133,67.4969086937139,166.737230821853,426.755269979932
